,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Paris Saint-Germain,1,54,23,17,3,3,55,20,35,3,29,11,9,2,0,26,10,16,2,25,12,8,1,3,29,10,19
Marseille,2,49,23,15,4,4,45,20,25,6,23,12,7,2,3,23,13,10,1,26,11,8,2,1,22,7,15
Monaco,3,47,23,14,5,4,51,30,21,5,23,12,7,2,3,29,19,10,3,24,11,7,3,1,22,11,11
Lens,4,46,23,13,7,3,35,18,17,2,30,11,10,0,1,22,8,14,8,16,12,3,7,2,13,10,3
Lille,5,41,23,12,5,6,40,27,13,4,24,12,7,3,2,23,17,6,6,17,11,5,2,4,17,10,7
Rennes,6,40,23,12,4,7,42,28,14,1,30,12,10,0,2,28,10,18,13,10,11,2,4,5,14,18,-4
Nice,7,38,24,10,8,6,30,21,9,9,19,12,5,4,3,16,10,6,4,19,12,5,4,3,14,11,3
Lorient,8,36,23,10,6,7,35,35,0,11,18,11,5,3,3,16,14,2,5,18,12,5,3,4,19,21,-2
Lyon,9,35,24,10,5,9,36,27,9,8,21,12,6,3,3,19,10,9,10,14,12,4,2,6,17,17,0
Reims,10,34,24,7,13,4,30,26,4,10,19,11,5,4,2,18,13,5,9,15,13,2,9,2,12,13,-1
Toulouse,11,32,23,9,5,9,39,39,0,7,22,12,6,4,2,23,17,6,15,10,11,3,1,7,16,22,-6
Clermont Foot,12,30,23,8,6,9,24,31,-7,13,14,12,4,2,6,10,20,-10,7,16,11,4,4,3,14,11,3
Nantes,13,28,23,6,10,7,24,26,-2,12,17,11,4,5,2,13,11,2,11,11,12,2,5,5,11,15,-4
Montpellier,14,23,23,7,2,14,34,45,-11,14,13,12,4,1,7,16,21,-5,14,10,11,3,1,7,18,24,-6
Strasbourg,15,21,24,4,9,11,29,42,-13,16,12,13,2,6,5,16,21,-5,16,9,11,2,3,6,13,21,-8
Brest,16,20,23,4,8,11,24,38,-14,17,11,11,2,5,4,12,18,-6,17,9,12,2,3,7,12,20,-8
Troyes,17,19,23,4,7,12,33,52,-19,18,10,11,1,7,3,12,17,-5,18,9,12,3,0,9,21,35,-14
Ajaccio,18,18,23,5,3,15,18,42,-24,19,7,11,2,1,8,7,18,-11,12,11,12,3,2,7,11,24,-13
AJ Auxerre,19,18,24,4,6,14,21,48,-27,15,13,12,3,4,5,11,20,-9,19,5,12,1,2,9,10,28,-18
Angers,20,10,24,2,4,18,20,50,-30,20,5,12,1,2,9,13,25,-12,20,5,12,1,2,9,7,25,-18
