,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Paris Saint-Germain,1,60,25,19,3,3,62,23,39,3,32,12,10,2,0,30,13,17,2,28,13,9,1,3,32,10,22
Marseille,2,52,25,16,4,5,48,25,23,6,23,13,7,2,4,23,16,7,1,29,12,9,2,1,25,9,16
Monaco,3,50,25,15,5,5,53,34,19,5,23,13,7,2,4,29,22,7,3,27,12,8,3,1,24,12,12
Lens,4,50,25,14,8,3,39,20,19,2,33,12,11,0,1,25,9,16,7,17,13,3,8,2,14,11,3
Rennes,5,46,25,14,4,7,45,28,17,1,33,13,11,0,2,30,10,20,11,13,12,3,4,5,15,18,-3
Lille,6,44,25,13,5,7,45,32,13,4,27,13,8,3,2,25,18,7,6,17,12,5,2,5,20,14,6
Nice,7,41,25,11,8,6,33,21,12,11,19,12,5,4,3,16,10,6,4,22,13,6,4,3,17,11,6
Lorient,8,39,25,11,6,8,38,36,2,10,21,13,6,3,4,19,15,4,5,18,12,5,3,4,19,21,-2
Lyon,9,38,25,11,5,9,39,28,11,9,21,12,6,3,3,19,10,9,8,17,13,5,2,6,20,18,2
Reims,10,37,25,8,13,4,33,26,7,7,22,12,6,4,2,21,13,8,10,15,13,2,9,2,12,13,-1
Toulouse,11,32,25,9,5,11,41,45,-4,8,22,13,6,4,3,25,20,5,16,10,12,3,1,8,16,25,-9
Clermont Foot,12,31,25,8,7,10,25,34,-9,13,15,13,4,3,6,11,21,-10,9,16,12,4,4,4,14,13,1
Nantes,13,28,25,6,10,9,25,30,-5,12,17,12,4,5,3,13,12,1,13,11,13,2,5,6,12,18,-6
Montpellier,14,27,25,8,3,14,36,46,-10,14,14,13,4,2,7,17,22,-5,12,13,12,4,1,7,19,24,-5
Strasbourg,15,22,25,4,10,11,30,43,-13,16,12,13,2,6,5,16,21,-5,15,10,12,2,4,6,14,22,-8
AJ Auxerre,16,21,25,5,6,14,22,48,-26,15,13,12,3,4,5,11,20,-9,19,8,13,2,2,9,11,28,-17
Ajaccio,17,21,25,6,3,16,20,46,-26,19,10,12,3,1,8,9,19,-10,14,11,13,3,2,8,11,27,-16
Brest,18,20,25,4,8,13,26,42,-16,17,11,12,2,5,5,13,20,-7,17,9,13,2,3,8,13,22,-9
Troyes,19,19,25,4,7,14,34,55,-21,18,10,12,1,7,4,12,18,-6,18,9,13,3,0,10,22,37,-15
Angers,20,10,25,2,4,19,21,53,-32,20,5,13,1,2,10,14,28,-14,20,5,12,1,2,9,7,25,-18
